"ano","sq_candidato","nome_candidato","sigla_uf","sigla_partido","qtd_doacoes","qtd_doadores","total_receita","media_receita","recursos de outros candidatos/comitês","recursos de pessoas físicas","recursos de pessoas jurídicas","recursos próprios","qtd_despesas","qtd_fornecedores","total_despesa","media_despesa","descricao_cargo","sexo","grau_instrucao","estado_civil","descricao_ocupacao","votos"
2014,10000000135,"EMERSON DA SILVA SANTOS","AC","PSOL",3,3,1580,526.666666666667,NA,1500,NA,NA,3,3,1580,526.666666666667,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",37
2014,10000000142,"GERALDO SILVA DOS SANTOS","AC","PSOL",5,5,3180,636,NA,3100,NA,NA,6,5,3130.02,626.004,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","VIGILANTE",383
2014,10000000158,"CARLOS CESAR CORREIA DE MESSIAS","AC","PSB",40,38,333293.13,8770.87184210526,1923.07,65700,154170.06,115000,145,139,326869.78,2351.58115107914,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","OUTROS",26448
2014,10000000161,"IDESIO LUIS FRANKE","AC","PT",29,29,156719.32,5404.11448275862,39122.32,68783.84,17000,6813.16,136,121,241016.07,1991.86834710744,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","AGRÔNOMO",9896
2014,10000000163,"LEONARDO CUNHA DE BRITO","AC","PT",160,146,711083,4870.43150684932,10000,347073,277000,78000,518,354,567401.15,1602.82810734463,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ADVOGADO",20876
2014,10000000164,"MARCELO FEITOSA DE ARAÚJO","AC","PT",4,3,23000,7666.66666666667,20000,NA,5000,8000,12,12,29950,2495.83333333333,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BOMBEIRO MILITAR",1025
2014,10000000166,"RAIMUNDO ANGELIM VASCONCELOS","AC","PT",48,48,405006.67,8437.63895833333,24166.67,162200,28000,28640,336,281,345879.4,1230.88754448399,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO SUPERIOR",39844
2014,10000000168,"RAMAO VIEIRA DE OLIVEIRA","AC","PROS",3,3,150000,50000,150000,NA,NA,NA,56,53,148903.95,2809.50849056604,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","EMPRESÁRIO",1994
2014,10000000169,"REGINA AMELIA D ALENCAR LINO","AC","PTB",15,13,460300,35407.6923076923,1e+05,36600,415000,8700,177,170,554900.36,3264.11976470588,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","DIVORCIADO(A)","ASSISTENTE SOCIAL",3842
2014,10000000170,"ROSELI COSTA","AC","PT",13,13,66093.33,5084.10230769231,NA,32760,18333.33,15000,21,21,66093.33,3147.30142857143,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","CASADO(A)","VEREADOR",1913
